,Unnamed: 0,Unnamed: 0.1,author,publicationTime,bodyText,Clean_Data,Clean,Clean1
0,0,0,id:twitter.com:2209799083,2016-10-02,"RT @350Australia: Adani Group's Aust #coal mining troubles far from over. 
https://t.co/KO1rp5LlQs https://t.co/iKRHZphy7Q","RT @350Australia: Adani Group's Aust #coal mining troubles far from over. 
 ",: Adani Group's Aust mining troubles far from over., Adani Group's Aust mining troubles far from over.
1,1,1,id:twitter.com:2209799083,2016-10-02,RT @avivaimhof: Poor old #coal. Now even #Vietnam is moving away from it. https://t.co/YfgLoIEota https://t.co/8CfgQSK2Q4,RT @avivaimhof: Poor old #coal. Now even #Vietnam is moving away from it.  ,: Poor old . Now even is moving away from it., Poor old . Now even is moving away from it.
2,2,2,id:twitter.com:43060113,2016-10-02,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels https://t.co/BteCpSXD3v #investment #coal https?,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels  #investment #coal ,: Funds have burned billions of dollars of our super on dirty, Funds have burned billions of dollars of our super on dirty
3,3,3,id:twitter.com:2209799083,2016-10-02,RT @avivaimhof: #Vietnam PM Announces Retreat from Coal Power. Another blow to global #coal industry. https://t.co/YfgLoIVZRK @zdaniel @mik?,RT @avivaimhof: #Vietnam PM Announces Retreat from Coal Power. Another blow to global #coal industry.  @zdaniel @mik?,: PM Announces Retreat from Coal Power. Another blow to global industry. ?, PM Announces Retreat from Coal Power. Another blow to global industry. 
4,4,4,id:twitter.com:585560584,2016-10-02,"RT @350Australia: Adani Group's Aust #coal mining troubles far from over. 
https://t.co/KO1rp5LlQs https://t.co/iKRHZphy7Q","RT @350Australia: Adani Group's Aust #coal mining troubles far from over. 
 ",: Adani Group's Aust mining troubles far from over., Adani Group's Aust mining troubles far from over.
5,5,5,id:twitter.com:149770065,2016-10-02,RT @QldGreens: How times change! Published on QLD Labor's Facebook on 14 Jan 2014. #coal #Adani #GreatBarrierReef #qldpol #auspol https://t?,RT @QldGreens: How times change! Published on QLD Labor's Facebook on 14 Jan 2014. #coal #Adani #GreatBarrierReef #qldpol #auspol ,: How times change! Published on QLD Labor's Facebook on Jan ., How times change! Published on QLD Labor's Facebook on Jan .
6,6,6,id:twitter.com:585560584,2016-10-02,RT @LockTheGate: Ex #ICAC commish lays it on the line: need overhaul of #coal laws across Oz to stop corruption http://t.co/SqNo9xMW7v http?,RT @LockTheGate: Ex #ICAC commish lays it on the line: need overhaul of #coal laws across Oz to stop corruption  ,: Ex commish lays it on the line: need overhaul of laws across Oz to stop corruption, Ex commish lays it on the line: need overhaul of laws across Oz to stop corruption
7,7,7,id:twitter.com:1542665564,2016-10-02,"#Brisbane forum: Air #pollution, #coal &amp; public #health: experts from @EJ_Aus @EDO_QLD and @DocsEnvAus #cleanair https://t.co/TsZwva3rDN","#Brisbane forum: Air #pollution, #coal &amp; public #health: experts from @EJ_Aus @EDO_QLD and @DocsEnvAus #cleanair ","forum: Air , &amp; public : eerts from and","forum: Air ,  public  eerts from and"
8,8,8,id:twitter.com:3051674485,2016-10-02,"#coal
4nature launched legal action against approval 4 Springvale #coal mine extension in Sydney?s water catchment https://t.co/bH5hP8KD4H","#coal
4nature launched legal action against approval 4 Springvale #coal mine extension in Sydney?s water catchment ",nature launched legal action against approval Springvale mine extension in Sydney?s water catchment,nature launched legal action against approval Springvale mine extension in Sydney?s water catchment
9,9,9,id:twitter.com:53313129,2016-10-02,5 Climate Angels Arrested For ?Watching Over? Santos CSG https://t.co/C6FuC647It #auspol NO #coal #thorium #nuclear https://t.co/x9ak7X1HLP,5 Climate Angels Arrested For ?Watching Over? Santos CSG  #auspol NO #coal #thorium #nuclear ,Climate Angels Arrested For ?Watching Over? Santos CSG NO,Climate Angels Arrested For ?Watching Over? Santos CSG NO
10,10,10,id:twitter.com:177799795,2016-10-02,RT @MineralsCouncil: Japan approves building of new coal-fired power plants | https://t.co/0r3F7r1YAB #coal #mining,RT @MineralsCouncil: Japan approves building of new coal-fired power plants |  #coal #mining,: Japan approves building of new coal-fired power plants |, Japan approves building of new coal-fired power plants |
11,11,11,id:twitter.com:53313129,2016-10-02,#auspol NO #coal #thorium #nuclear  https://t.co/XkEFSg63P6,#auspol NO #coal #thorium #nuclear  ,NO,NO
