"Cust_ID","Target","Age","Gender","Balance","Occupation","No_OF_CR_TXNS","AGE_BKT","SCR","Holding_Period"
"C1",0,30,"M",160378.6,"SAL",2,"26-30",826,9
"C10",1,41,"M",84370.59,"PROF",14,"41-45",843,9
"C100",0,49,"F",60849.26,"PROF",49,"46-50",328,26
"C1000",0,49,"M",10558.81,"SAL",23,"46-50",619,19
"C10000",0,43,"M",97100.48,"",3,"41-45",397,8
"C10001",0,30,"M",160378.6,"SAL",2,"26-30",781,11
"C10002",0,43,"M",26275.55,"PROF",23,"41-45",354,12
"C10003",0,53,"M",33616.47,"SAL",45,">50",239,5
"C10004",0,45,"M",1881.37,"PROF",3,"41-45",339,13
"C10005",0,37,"M",3274.37,"PROF",33,"36-40",535,9
"C10006",0,41,"M",197632.53,"SAL",6,"41-45",204,30
"C10007",1,46,"M",36022.2,"PROF",39,"46-50",672,17
"C10008",1,33,"M",81362.58,"PROF",47,"31-35",726,7
"C10009",1,43,"M",70759.97,"PROF",5,"41-45",339,25
"C1001",0,53,"M",134466.62,"PROF",43,">50",419,8
"C10010",1,41,"M",84370.59,"PROF",47,"41-45",997,9
"C10011",0,36,"M",45064.42,"PROF",14,"36-40",574,31
"C10012",0,36,"M",57802.68,"PROF",37,"36-40",651,21
"C10013",0,27,"M",63177.16,"PROF",8,"26-30",603,14
"C10014",0,41,"O",109546.61,"SAL",38,"41-45",548,14
"C10015",0,41,"O",51670.56,"SAL",32,"41-45",458,21
"C10016",0,47,"O",51758.24,"SAL",29,"46-50",874,26
"C10017",0,36,"O",114633.4,"PROF",30,"36-40",453,24
"C10018",0,37,"O",68043.14,"PROF",37,"36-40",940,16
"C10019",0,35,"O",14364.24,"SAL",21,"31-35",521,20
"C1002",0,44,"M",14055.24,"PROF",37,"41-45",281,23
"C10020",0,55,"O",229658.69,"SAL",12,">50",861,28
"C10021",0,36,"O",1875.01,"PROF",39,"36-40",882,28
"C10022",0,30,"O",6529.39,"PROF",46,"26-30",845,22
"C10023",0,48,"O",18112.13,"PROF",44,"46-50",413,16
"C10024",0,35,"O",3175.59,"SAL",27,"31-35",796,9
"C10025",0,52,"O",3080.09,"SELF-EMP",8,">50",644,8
"C10026",0,27,"O",26931.08,"SELF-EMP",24,"26-30",970,16
"C10027",0,43,"O",10794.88,"PROF",23,"41-45",334,27
"C10028",0,50,"O",887.52,"PROF",24,"46-50",754,21
"C10029",0,42,"O",3720.71,"SAL",45,"41-45",936,27
"C1003",0,34,"M",12365.65,"SAL",21,"31-35",867,4
"C10030",0,45,"O",96998.38,"PROF",11,"41-45",631,5
"C10031",0,35,"O",6068.68,"SELF-EMP",36,"31-35",433,2
"C10032",0,43,"O",17797.41,"PROF",7,"41-45",956,17
"C10033",0,53,"O",18444.45,"SELF-EMP",26,">50",532,0
"C10034",0,53,"O",44880.16,"SAL",35,">50",690,22
"C10035",0,42,"O",32834.81,"SAL",36,"41-45",134,3
"C10036",0,30,"O",148096.36,"PROF",33,"26-30",682,21
"C10037",0,39,"O",81890.14,"SAL",26,"36-40",704,14
"C10038",0,36,"O",99252.2,"SAL",46,"36-40",747,0
"C10039",0,31,"F",38338.05,"SELF-EMP",9,"31-35",741,30
"C1004",0,33,"M",10918.16,"PROF",50,"31-35",139,7
"C10040",0,39,"F",133050.07,"SAL",17,"36-40",862,0
"C10041",0,52,"F",120482.34,"SAL",8,">50",106,12
"C10042",0,43,"F",569.22,"PROF",45,"41-45",586,5
"C10043",0,35,"F",44007.7,"PROF",25,"31-35",588,9
"C10044",0,46,"F",16028.87,"PROF",47,"46-50",167,21
"C10045",0,55,"F",7200.64,"SAL",36,">50",556,31
"C10046",0,38,"F",905.8,"SAL",41,"36-40",570,24
"C10047",1,43,"F",5456.31,"PROF",26,"41-45",997,11
"C10048",1,45,"F",7484.27,"PROF",11,"41-45",720,2
"C10049",1,44,"O",2771.93,"SELF-EMP",49,"41-45",422,4
"C1005",0,45,"M",88173.76,"PROF",49,"41-45",945,5
"C10050",1,31,"O",6829.03,"PROF",11,"31-35",384,18
"C10051",0,54,"O",2427.7,"SAL",11,">50",318,21
"C10052",0,53,"O",22135.11,"PROF",3,">50",669,27
"C10053",0,51,"O",7006.12,"SAL",5,">50",344,15
"C10054",0,47,"O",9760.97,"SAL",6,"46-50",885,23
"C10055",0,49,"O",9864.65,"SELF-EMP",41,"46-50",193,23
"C10056",0,51,"O",4972.97,"PROF",49,">50",938,1
"C10057",0,51,"O",5445.04,"PROF",2,">50",646,6
"C10058",0,47,"O",7223.2,"PROF",14,"46-50",245,21
"C10059",0,43,"O",575.13,"PROF",0,"41-45",763,8
"C1006",0,45,"M",39115.88,"PROF",25,"41-45",141,18
"C10060",0,43,"O",9715.45,"PROF",37,"41-45",595,31
"C10061",0,52,"F",14503.67,"SAL",27,">50",578,23
"C10062",0,45,"F",8363.78,"SAL",38,"41-45",255,14
"C10063",0,32,"F",5294.85,"SAL",50,"31-35",270,27
"C10064",0,52,"F",67561.97,"PROF",7,">50",385,6
"C10065",0,51,"F",229658.69,"PROF",42,">50",310,5
"C10066",0,30,"F",6340.06,"PROF",2,"26-30",469,9
"C10067",0,46,"F",179052.66,"PROF",7,"46-50",250,20
"C10068",0,28,"F",20765.28,"PROF",23,"26-30",818,3
"C10069",0,39,"F",77940.42,"SAL",4,"36-40",165,12
"C1007",0,48,"M",66365.59,"PROF",6,"46-50",879,14
"C10070",0,40,"F",34143.33,"PROF",32,"36-40",238,15
"C10071",0,34,"F",20592.72,"SAL",45,"31-35",861,5
"C10072",0,47,"F",20412.87,"SAL",38,"46-50",410,9
"C10073",0,37,"F",101596.71,"SAL",44,"36-40",305,9
"C10074",0,42,"F",52712.64,"PROF",34,"41-45",190,25
"C10075",0,41,"F",232346.18,"SAL",43,"41-45",875,27
"C10076",0,55,"F",14021.5,"PROF",50,">50",661,27
"C10077",0,54,"F",4243.01,"PROF",7,">50",290,16
"C10078",0,42,"F",6235.11,"SELF-EMP",21,"41-45",543,23
"C10079",0,43,"F",217180.8,"SAL",29,"41-45",590,28
"C1008",0,39,"M",97264.67,"PROF",17,"36-40",854,14
"C10080",1,34,"F",80811.59,"SELF-EMP",41,"31-35",825,5
"C10081",0,30,"F",47391.7,"PROF",0,"26-30",979,1
"C10082",0,47,"F",211587.46,"SAL",31,"46-50",544,27
"C10083",0,41,"F",246269.73,"SAL",5,"41-45",418,10
"C10084",0,42,"F",157756.37,"PROF",12,"41-45",269,5
"C10085",0,55,"F",205227.55,"SAL",22,">50",672,9
"C10086",1,36,"F",107010.61,"",18,"36-40",397,18
"C10087",1,43,"F",205227.55,"PROF",14,"41-45",965,4
"C10088",1,46,"F",34049.77,"PROF",14,"46-50",737,16
"C10089",0,32,"F",87067.12,"SAL",2,"31-35",955,7
"C1009",0,26,"M",919.74,"PROF",38,"26-30",327,18
"C10090",0,38,"F",4820.78,"SAL",34,"36-40",340,5
"C10091",0,38,"F",41111.36,"SAL",28,"36-40",205,13
"C10092",0,53,"F",44633.89,"SAL",9,">50",620,21
"C10093",0,44,"F",2736.14,"SAL",10,"41-45",348,14
"C10094",0,28,"F",80198.06,"SELF-EMP",9,"26-30",115,11
"C10095",0,35,"F",36145.76,"SELF-EMP",42,"31-35",588,19
"C10096",0,43,"F",27254.78,"SAL",26,"41-45",575,9
"C10097",0,30,"F",79738.08,"SAL",13,"26-30",179,27
"C10098",0,46,"F",77963.2,"SAL",3,"46-50",966,3
"C10099",0,34,"F",79762.01,"SAL",6,"31-35",624,27
"C101",0,50,"F",182094.26,"SAL",39,"46-50",674,22
"C1010",0,48,"M",45233.04,"PROF",34,"46-50",855,11
"C10100",0,49,"F",60849.26,"PROF",49,"46-50",153,19
"C10101",0,50,"F",182094.26,"SAL",39,"46-50",223,4
"C10102",0,49,"F",104133.75,"PROF",34,"46-50",577,19
"C10103",0,40,"F",212089.48,"PROF",50,"36-40",482,28
"C10104",0,41,"F",212521.94,"PROF",39,"41-45",234,21
"C10105",0,32,"F",7711.68,"PROF",36,"31-35",845,28
"C10106",0,49,"F",194768.49,"PROF",24,"46-50",629,28
"C10107",0,49,"F",11564.93,"PROF",2,"46-50",526,13
"C10108",0,52,"F",126216.23,"PROF",8,">50",631,28
"C10109",0,48,"F",52066.01,"PROF",31,"46-50",319,21
"C1011",0,51,"M",49050.35,"SAL",31,">50",965,16
"C10110",0,51,"F",12685.91,"SAL",23,">50",710,11
"C10111",0,40,"F",31390.69,"PROF",39,"36-40",187,9
"C10112",0,48,"F",15360.49,"SELF-EMP",30,"46-50",648,26
"C10113",0,49,"F",16957.2,"SAL",40,"46-50",375,3
"C10114",0,41,"F",86120.26,"PROF",10,"41-45",528,13
"C10115",0,31,"F",21496.29,"PROF",7,"31-35",906,10
"C10116",0,49,"F",152437.8,"PROF",25,"46-50",808,28
"C10117",0,25,"F",36007.82,"SAL",45,"<25",963,17
"C10118",0,50,"F",29448,"PROF",3,"46-50",213,31
"C10119",0,31,"F",10846.55,"SAL",18,"31-35",288,22
"C1012",0,33,"M",18465.89,"SAL",45,"31-35",214,13
"C10120",1,47,"F",27247.08,"SELF-EMP",11,"46-50",338,1
"C10121",0,52,"F",7507.37,"SAL",43,">50",368,19
"C10122",0,54,"F",243324.6,"SAL",38,">50",972,25
"C10123",0,33,"F",65830.34,"PROF",7,"31-35",811,22
"C10124",0,33,"F",4563.4,"SAL",26,"31-35",184,9
"C10125",0,44,"F",89058.99,"PROF",36,"41-45",300,6
"C10126",1,36,"F",38721.74,"",12,"36-40",864,1
"C10127",1,29,"F",50949.27,"PROF",29,"26-30",629,14
"C10128",1,49,"F",82901.14,"PROF",15,"46-50",866,0
"C10129",1,43,"F",36006.29,"PROF",23,"41-45",424,18
"C1013",0,29,"M",32980.8,"SAL",14,"26-30",327,16
"C10130",0,54,"F",13044.58,"SAL",37,">50",555,10
"C10131",0,34,"M",7557.73,"SAL",6,"31-35",195,5
"C10132",0,38,"M",59186.07,"PROF",20,"36-40",667,22
"C10133",0,33,"M",27597.86,"SAL",1,"31-35",809,27
"C10134",0,47,"M",93507.65,"PROF",24,"46-50",572,28
"C10135",0,25,"M",98275.21,"SAL",30,"<25",649,1
"C10136",0,48,"M",120369.84,"PROF",25,"46-50",683,23
"C10137",0,28,"M",88104.12,"PROF",38,"26-30",682,13
"C10138",0,25,"M",60831.25,"PROF",38,"<25",925,3
"C10139",0,45,"M",22461.34,"SAL",40,"41-45",785,9
"C1014",0,36,"M",9423.58,"PROF",12,"36-40",463,17
"C10140",0,46,"M",13648.4,"SAL",1,"46-50",997,25
"C10141",0,49,"M",185636.01,"SAL",37,"46-50",574,29
"C10142",0,33,"F",13113.7,"SAL",5,"31-35",474,28
"C10143",0,42,"F",10192.41,"SAL",7,"41-45",657,14
"C10144",0,38,"F",212521.94,"SAL",46,"36-40",829,23
"C10145",0,53,"F",14826.07,"SAL",31,">50",103,15
"C10146",0,53,"F",53135.54,"SAL",36,">50",127,9
"C10147",0,52,"F",111715.02,"PROF",13,">50",201,25
"C10148",0,44,"F",13497.03,"PROF",27,"41-45",362,5
"C10149",0,54,"F",4621.28,"SAL",31,">50",873,31
"C1015",0,52,"M",96824.13,"PROF",32,">50",573,6
"C10150",0,33,"F",8669.5,"SAL",25,"31-35",536,31
"C10151",0,44,"F",11821.84,"PROF",43,"41-45",228,27
"C10152",0,28,"F",38269.59,"SAL",14,"26-30",700,15
"C10153",0,30,"F",54704.88,"PROF",50,"26-30",374,2
"C10154",0,53,"F",72814.87,"SAL",31,">50",723,15
"C10155",0,47,"F",138396.37,"PROF",35,"46-50",864,0
"C10156",0,37,"F",27059.6,"PROF",14,"36-40",700,21
"C10157",0,25,"F",25505.61,"SAL",13,"<25",100,17
"C10158",0,47,"F",172872.43,"SAL",3,"46-50",449,28
"C10159",1,37,"F",125523.92,"SAL",24,"36-40",327,4
"C1016",0,41,"M",7393.71,"SAL",14,"41-45",789,6
"C10160",0,47,"F",199423.86,"PROF",21,"46-50",472,8
"C10161",0,28,"F",59254.63,"PROF",13,"26-30",302,18
"C10162",1,28,"F",58897.12,"PROF",16,"26-30",425,15
"C10163",0,45,"F",212521.94,"SAL",5,"41-45",236,12
"C10164",0,53,"F",5686.27,"PROF",45,">50",465,13
"C10165",1,47,"F",212521.94,"PROF",44,"46-50",332,15
"C10166",1,29,"F",201181.89,"PROF",18,"26-30",729,7
"C10167",1,34,"F",6879.73,"PROF",12,"31-35",959,14
"C10168",1,23,"F",32728.36,"SAL",33,"<25",784,22
"C10169",0,34,"F",667325.08,"PROF",37,"31-35",238,19
"C1017",0,37,"M",4241.31,"SAL",49,"36-40",506,2
"C10170",0,33,"F",245500,"PROF",38,"31-35",753,31
"C10171",0,33,"F",100647.62,"PROF",27,"31-35",687,1
"C10172",0,28,"F",554538.52,"SAL",0,"26-30",262,25
"C10173",0,33,"M",79132.83,"PROF",48,"31-35",860,13
"C10174",0,34,"M",589630.3,"SAL",42,"31-35",535,20
"C10175",0,34,"M",201181.89,"SAL",9,"31-35",297,4
"C10176",0,34,"M",108090.83,"SAL",32,"31-35",228,1
"C10177",0,27,"M",201181.89,"SAL",3,"26-30",339,4
"C10178",0,29,"M",100231.82,"PROF",5,"26-30",393,4
"C10179",0,28,"M",141228.42,"SAL",31,"26-30",163,14
"C1018",0,47,"M",24558.62,"PROF",38,"46-50",540,28
"C10180",0,40,"M",710106.95,"SAL",4,"36-40",956,30
"C10181",0,26,"M",573946.29,"SAL",13,"26-30",443,17
"C10182",0,34,"M",201181.89,"SAL",35,"31-35",137,13
"C10183",0,23,"M",627960.17,"SAL",42,"<25",205,12
"C10184",0,22,"M",201181.89,"SAL",34,"<25",680,21
"C10185",0,28,"M",607419.4,"SAL",24,"26-30",330,5
"C10186",1,30,"M",201181.89,"SAL",20,"26-30",700,14
"C10187",0,30,"M",160733.76,"SAL",49,"26-30",706,15
"C10188",0,32,"M",674674.51,"SAL",3,"31-35",529,12
"C10189",0,22,"M",201181.89,"SAL",8,"<25",972,3
"C1019",0,37,"M",34902.92,"PROF",21,"36-40",153,18
"C10190",0,41,"M",238943.27,"SAL",24,"41-45",250,19
"C10191",0,32,"M",238943.27,"SAL",43,"31-35",661,22
"C10192",0,30,"M",576681.29,"SAL",50,"26-30",697,10
"C10193",0,29,"M",238943.27,"SAL",18,"26-30",169,0
"C10194",0,27,"M",8932.87,"SAL",33,"26-30",218,16
"C10195",0,27,"M",27391.9,"SAL",20,"26-30",169,7
"C10196",0,29,"M",667414.95,"SAL",2,"26-30",378,2
"C10197",0,31,"M",509016.69,"SAL",43,"31-35",344,11
"C10198",1,29,"M",53780.82,"SAL",10,"26-30",924,4
"C10199",0,42,"M",672959.17,"SAL",4,"41-45",907,9
"C102",0,49,"F",104133.75,"PROF",34,"46-50",676,26
"C1020",0,42,"M",2097.14,"PROF",47,"41-45",483,4
"C10200",0,34,"M",40536.69,"SELF-EMP",45,"31-35",915,12
"C10201",0,26,"M",652967.65,"SAL",35,"26-30",904,30
"C10202",0,35,"M",690585.84,"SAL",44,"31-35",152,13
"C10203",0,29,"M",242186.57,"SAL",23,"26-30",232,26
"C10204",1,24,"M",30134.96,"SELF-EMP",44,"<25",605,16
"C10205",1,24,"M",391931.21,"SAL",21,"<25",829,20
"C10206",1,28,"M",7257.38,"SAL",48,"26-30",951,4
"C10207",1,24,"F",330458.98,"SAL",43,"<25",582,6
"C10208",0,50,"F",671831.29,"SAL",12,"46-50",700,22
"C10209",0,24,"F",245500,"SELF-EMP",7,"<25",230,3
"C1021",0,36,"M",13849.86,"SAL",21,"36-40",613,25
"C10210",0,32,"F",144258.73,"SAL",37,"31-35",985,20
"C10211",0,47,"F",684674.12,"SAL",42,"46-50",411,1
"C10212",0,32,"F",98328.19,"SAL",7,"31-35",213,14
"C10213",0,41,"F",690229.34,"SELF-EMP",26,"41-45",932,24
"C10214",0,41,"F",245500,"SAL",18,"41-45",998,18
"C10215",0,38,"M",1202625.81,"PROF",33,"36-40",484,19
"C10216",0,33,"M",245500,"SAL",24,"31-35",166,9
"C10217",0,23,"M",193048.94,"PROF",21,"<25",738,7
"C10218",0,45,"M",108680.3,"SAL",10,"41-45",169,26
"C10219",0,35,"M",38727.56,"SELF-EMP",38,"31-35",389,5
"C1022",0,41,"M",7479.18,"SELF-EMP",39,"41-45",926,11
"C10220",0,28,"M",192465.84,"SELF-EMP",8,"26-30",946,20
"C10221",0,26,"M",165792.36,"SAL",50,"26-30",365,23
"C10222",0,23,"M",107527.91,"SAL",15,"<25",156,12
"C10223",0,23,"M",245500,"SAL",35,"<25",196,19
"C10224",0,38,"M",36253.61,"SAL",29,"36-40",482,27
"C10225",0,23,"M",606698.91,"SELF-EMP",30,"<25",311,23
"C10226",0,37,"M",249809.73,"SELF-EMP",5,"36-40",141,0
"C10227",0,25,"M",43776.39,"SAL",6,"<25",137,15
"C10228",0,24,"M",781221.45,"SAL",23,"<25",604,5
