Cust_ID,Target, Age ,Gender, Balance ,Occupation,No_OF_CR_TXNS,AGE_BKT
C1,0,30,M,160378.6,SAL,2,26-30
C2,0,43,M,26275.55,PROF,23,41-45
C3,0,53,M,33616.47,SAL,45,>50
C4,0,45,M,1881.37,PROF,3,41-45
C5,0,37,M,3274.37,PROF,33,36-40
C6,0,41,M,197632.53,SAL,6,41-45
C7,1,46,M,36022.2,PROF,39,46-50
C8,1,33,M,81362.58,PROF,13,31-35
C9,1,43,M,70759.97,PROF,15,41-45
C10,1,41,M,84370.59,PROF,14,41-45
C11,0,36,M,45064.42,PROF,14,36-40
C12,0,36,M,57802.68,PROF,37,36-40
C13,0,27,M,63177.16,PROF,8,26-30
C14,0,41,O,109546.61,SAL,38,41-45
C15,0,41,O,51670.56,SAL,32,41-45
C16,0,47,O,51758.24,SAL,29,46-50
C17,0,36,O,114633.4,PROF,30,36-40
C18,0,37,O,68043.14,PROF,37,36-40
C19,0,35,O,14364.24,SAL,21,31-35
C20,0,55,O,229658.69,SAL,12,>50
C21,0,36,O,1875.01,PROF,39,36-40
C22,0,30,O,6529.39,PROF,46,26-30
C23,0,48,O,18112.13,PROF,44,46-50
C24,0,35,O,3175.59,SAL,27,31-35
C25,0,52,O,3080.09,SELF-EMP,8,>50
C26,0,27,O,26931.08,SELF-EMP,24,26-30
C27,0,43,O,10794.88,PROF,23,41-45
C28,0,50,O,887.52,PROF,24,46-50
C29,0,42,O,3720.71,SAL,45,41-45
C30,0,45,O,96998.38,PROF,11,41-45
C31,0,35,O,6068.68,SELF-EMP,36,31-35
C32,0,43,O,17797.41,PROF,7,41-45
C33,0,53,O,18444.45,SELF-EMP,26,>50
C34,0,53,O,44880.16,SAL,35,>50
C35,0,42,O,32834.81,SAL,36,41-45
C36,0,30,O,148096.36,PROF,33,26-30
C37,0,39,O,81890.14,SAL,26,36-40
C38,0,36,O,99252.2,SAL,46,36-40
C39,0,31,F,38338.05,SELF-EMP,9,31-35
C40,0,39,F,133050.07,SAL,17,36-40
C41,0,52,F,120482.34,SAL,8,>50
C42,0,43,F,569.22,PROF,45,41-45
C43,0,35,F,44007.7,PROF,25,31-35
C44,0,46,F,16028.87,PROF,47,46-50
C45,0,55,F,7200.64,SAL,36,>50
C46,0,38,F,905.8,SAL,41,36-40
C47,1,43,F,5456.31,PROF,26,41-45
C48,1,45,F,7484.27,PROF,11,41-45
C49,1,44,O,2771.93,SELF-EMP,15,41-45
C50,1,31,O,6829.03,PROF,11,31-35
C51,0,54,O,2427.7,SAL,11,>50
C52,0,53,O,22135.11,PROF,3,>50
C53,0,51,O,7006.12,SAL,5,>50
C54,0,47,O,9760.97,SAL,6,46-50
C55,0,49,O,9864.65,SELF-EMP,41,46-50
C56,0,51,O,4972.97,PROF,49,>50
C57,0,51,O,5445.04,PROF,2,>50
C58,0,47,O,7223.2,PROF,14,46-50
C59,0,43,O,575.13,PROF,0,41-45
C60,0,43,O,9715.45,PROF,37,41-45
C61,0,52,F,14503.67,SAL,27,>50
C62,0,45,F,8363.78,SAL,38,41-45
C63,0,32,F,5294.85,SAL,50,31-35
C64,0,52,F,67561.97,PROF,7,>50
C65,0,51,F,229658.69,PROF,42,>50
C66,0,30,F,6340.06,PROF,2,26-30
C67,0,46,F,179052.66,PROF,7,46-50
C68,0,28,F,20765.28,PROF,23,26-30
C69,0,39,F,77940.42,SAL,4,36-40
C70,0,40,F,34143.33,PROF,32,36-40
C71,0,34,F,20592.72,SAL,45,31-35
C72,0,47,F,20412.87,SAL,38,46-50
C73,0,37,F,101596.71,SAL,44,36-40
C74,0,42,F,52712.64,PROF,34,41-45
C75,0,41,F,232346.18,SAL,43,41-45
C76,0,55,F,14021.5,PROF,50,>50
C77,0,54,F,4243.01,PROF,7,>50
C78,0,42,F,6235.11,SELF-EMP,21,41-45
C79,0,43,F,217180.8,SAL,29,41-45
C80,1,34,F,80811.59,SELF-EMP,16,31-35
C81,0,30,F,47391.7,PROF,0,26-30
C82,0,47,F,211587.46,SAL,31,46-50
C83,0,41,F,246269.73,SAL,5,41-45
C84,0,42,F,157756.37,PROF,12,41-45
C85,0,55,F,205227.55,SAL,22,>50
C86,1,36,F,107010.61,,18,36-40
C87,1,43,F,205227.55,PROF,14,41-45
C88,1,46,F,34049.77,PROF,14,46-50
C89,0,32,F,87067.12,SAL,2,31-35
